1959	мода	Всеобщее признание, внимание, известность в данное время.
2005	неги	Наслаждения, удовольствия.
2060	ожог	Повреждение тела огнем или горячим, жгучим.
1960	мозг	Центральный отдел нервной системы животных и человека, представляющий собою вещество, состоящее из нервных клеток и волокон; орган высшей нервной деятельности.
1961	мозг	Вещество, заполняющее полости костей у человека и позвоночных животных.
1962	моль	Насекомое отряда бабочек, гусеница которого является вредителем меха, шерсти, хлебных зерен, растений и т.п.
1963	моль	Минор (употр. обычно с буквенным обозначением ноты).
1964	моль	Единица количества вещества в Международной системе единиц.
1965	мопс	Порода небольших комнатных бульдогообразных собак с круглой головой, тупой мордой и короткой гладкой шерстью.
1966	морг	Специальное помещение для хранения трупов до захоронения.
1967	морг	Старая единица измерения земли в Польше и Литве, равная приблизительно 0,5 га.
1968	море	Часть Мирового океана, обособленная сушей или возвышениями подводного рельефа.
1969	морс	Прохладительный сладкий напиток, приготовленный из разбавленного водой сока ягод или плодов.
1970	морс	Фруктовый или ягодный сок, используемый для приготовления вина.
1971	мост	Сооружение для перехода, переезда через реку, овраг, железнодорожный путь и т.п.
1972	мост	Прием в спортивной борьбе, при котором тело борца изогнуто грудью вверх и опирается на ступни и ладони (или голову).
1973	моча	Жидкий продукт выделения животных и человека, вырабатываемый почками.
1974	мощь	Обладание силой как источником господства, власти; могущество.
1975	мощь	Физическая сила, крепость.
1976	мрак	Полное отсутствие света; тьма, темнота.
1977	муар	Плотная шелковая или полушелковая ткань с волнообразными переливами разных цветовых оттенков.
1978	муза	Каждая из девяти богинь, покровительниц искусств и наук (в древнегреческой мифологии).
1979	мука	Сильное физическое или нравственное страдание; мучение.
1980	мука	мучительное, невыносимое, очень тяжелое.
1981	мука	Продукт питания, получаемый путем размола зерна хлебных злаков.
1982	мука	измельченное или превратившееся в порошок.
1983	мусс	Сладкое кушанье из взбитой в пену фруктовой, ягодной, шоколадной и т.п. массы с манной крупой или желатином.
1984	муст	Свежевыжатый сок винограда или других фруктов.
1985	муст	Молодое, еще не перебродившее вино.
1986	муть	Не растворившиеся в жидкости мелкие частицы, делающие ее мутной.
1987	муха	Насекомое отряда двукрылых.
1988	мыза	Отдельно стоящая усадьба с сельскохозяйственными постройками; хутор.
1989	мыло	Твердое вещество или полужидкая масса из жиров и щелочей, легко растворяющиеся в воде и употребляемые для мытья и стирки.
1990	мышь	Небольшой грызун, обычно серого цвета, с острой мордочкой и длинным хвостом.
1991	мэтр	Учитель, наставник.
1992	мясо	Туша или часть туши убитых животных, употребляемые в пищу.
1993	мясо	Мягкая мышечная часть тела рыбы.
1994	мята	Многолетнее травянистое душистое растение семейства губоцветных, используемое в медицине, парфюмерии и кондитерском производстве.
1995	наиб	В некоторых мусульманских странах - заместитель или помощник начальника или духовного лица; иногда - начальник местной полиции, старшина сельской общины.
1996	нани	Самоназвание ороков, проживающих в восточной и частично южной части острова Сахалин.
1997	нани	Самоназвание орочей, проживающих в Хабаровском крае России.
2102	офит	Светлый минерал различных оттенков; разновидность змеевика.
1998	нард	Травянистое растение семейства валерьяновых с мясистым и пахучим корневищем и мелкими цветками.
1999	нары	Приспособление в виде настила из досок, предназначенное для того, чтобы спать.
2000	наст	Оледенелая корка на поверхности снега.
2001	небо	Пространство или - по религиозным представлениям - место пребывания Бога.
2002	нега	Состояние полного довольства; жизнь без нужды и забот.
2003	нега	Блаженство, упоение.
2006	неон	Благородный газ, содержащийся в незначительных количествах в воздухе.
2007	нерв	Один из тончайших отростков-волокон, отходящих от головного и спинного мозга и образующих разветвляющуюся систему, служащую средством управления деятельностью организма.
2008	нерв	Жилка на пластинках листьев растений и на крыльях насекомых.
2009	небо	Верхняя часть полости рта у человека и позвоночных животных, имеющая сводчатую форму.
2010	нива	Засеянное поле; пашня.
2011	нимб	Сияние вокруг головы, изображаемое в виде круга (на иконах, на изображениях святых и т.п.).
2012	ниша	Углубление в стене для помещения в нем (статуи, вазы, предмета домашней обстановки и т.п.).
2013	ниша	Уступ в скате горы, берега, рва, окопа, траншеи и т.п.
2014	новь	Никогда не паханная земля; целина.
2015	новь	Хлеб нового урожая.
2016	нога	Одна из двух нижних конечностей человека.
2017	нога	Опора, нижний конец (мебели, стропил, сооружений, механизмов и т.п.).
2018	нома	Прогрессирующая влажная гангрена мягких тканей лица, наблюдаемая обычно у ослабленных детей; водяной рак.
2019	нона	Девятая ступень диатонической гаммы (в музыке).
2020	нона	Строфа из девяти строк (в стихосложении).
2021	нора	Углубление под землей с одним или несколькими ходами наружу, вырытое животным и служащее ему жилищем.
2022	норд	Север.
2023	норд	Северный ветер.
2024	нота	Графическое изображение музыкального звука.
2025	нота	Отдельный звук определенной высоты в музыке и пении.
2026	нота	Официальное дипломатическое обращение одного правительства к другому.
2027	ноты	Текст музыкального произведения в нотной записи.
2028	ноты	Лист, тетрадь или книга с записью музыкального произведения.
2029	ночь	Название части суток от захода до восхода солнца.
2030	ноша	Груз, переносимый на себе.
2031	нрав	Характер, совокупность психических свойств.
2032	нуга	Сходный с халвой вид кондитерских изделий, обычно из сладкой, вязкой ореховой массы.
2033	няня	Женщина или девушка, занимающаяся уходом за ребенком, за детьми.
2034	обед	Принятие пищи, обычно в середине дня в отличие от завтрака и ужина.
2035	обед	Пища, кушанья, приготовляемые, предназначаемые для дневной еды.
2036	обет	Обещание, обязательство, налагаемое на себя из религиозных соображений.
2037	обжа	Участок пахотной земли, служивший единицей обложения в новгородских землях в XV-XVII вв.
2038	обжа	Рукоятка у плуга или сохи.
2039	обод	Наружная часть колеса в виде обруча, обычно обтянутого шиной.
2040	обод	Обруч или кольцо, служащие для скрепления.
2041	обоз	Вереница следующих друг за другом повозок с грузом.
2042	обоз	Совокупность транспортных средств, приданных войсковым частям.
2043	обои	Материал в виде широких полос - узорчатой бумаги, ткани и т.п. - для оклейки или обивки стен в помещениях.
2044	обой	Остатки льна, конопли, зерен и т.п. после обивания, обмолота или вычески.
2045	обол	Серебряная монета, равная шестой части драхмы, в Древней Греции.
2046	обол	Бронзовая монета в Византии IX-X вв.
2047	обры	Славянское название аваров.
2048	овал	Фигура, ограниченная кривой линией яйцеобразной формы.
2049	овал	Яйцевидное очертание.
2050	овен	Одно из двенадцати зодиакальных созвездий.
2051	овес	Яровой злак, зерна которого обычно идут на корм лошадям, а также на крупу.
2052	овин	Строение для огневой сушки хлебов в снопах перед молотьбой.
2053	овод	Двукрылое насекомое, личинки которого паразитируют в теле животных.
2054	овсы	Поле или всходы овса.
2055	овца	Самка барана.
2056	один	Отдельная личность.
2057	один	определенный.
2058	один	единственный.
2059	одно	определенное.
2061	ожог	Место на теле, поврежденное огнем или горячим, жгучим.
2062	озон	Газ (соединение трех атомов кислорода) со специфическим запахом, обладающий сильным окислительным и обеззараживающим свойством.
2063	окно	Отверстие в стене здания или стенке транспортного средства, предназначенное для света и воздуха.
2064	окно	Отверстие для выхода или доступа.
2065	окно	Промежуток между просвет в или свободное от время.
2066	окно	Остаток водоема в болоте, трясине и т.п. в виде открытого углубления.
2067	окоп	Земляное укрепление, укрытие от пуль, снарядов и т.п. в виде рва с насыпью.
2068	окот	Роды кошки, крольчихи, белки, львицы, овцы и некоторых других животных.
2069	омар	Морское беспозвоночное животное, десятиногий рак.
2070	омег	Ядовитое двулетнее растение семейства зонтичных; болиголов.
2071	омег	местн. горькое; горечь.
2072	омет	Большая куча оставшейся после обмолота соломы.
2073	омут	Глубокая яма на дне реки или озера.
2074	омут	Быстрина, водоворот, вымывающие на дне реки, озера яму.
2075	онер	Козырная старшая карта, от десятки до туза (в карточных играх).
2076	опак	Белая глина особого качества, идущая на выделку посуды.
2077	опал	Минерал, стекловидный поделочный камень молочно-белого цвета с радужными оттенками или с голубоватым либо с желтоватым отливом; некоторые сорта его считаются драгоценными.
2078	опус	Отдельное музыкальное произведение, обозначенное номером в ряду других произведений данного композитора.
2079	опус	Любое литературное произведение или научный труд автора.
2080	опыт	Отражение в человеческом сознании законов объективного мира и общественной практики, полученное в результате активного практического познания.
2081	опыт	Совокупность практически усвоенных знаний, навыков.
2082	опыт	Воспроизведение явления в искусственно созданных условиях с целью его исследования.
2083	орда	Разновидность государственного объединения, первоначально - нескольких кочевых племен под властью одного хана (в древности у тюркских кочевых народов).
2084	орех	Плод некоторых деревьев и кустарников со съедобным ядром и крепкой скорлупой.
2085	орех	Сорт антрацита и каменного угля.
2086	орел	Хищная сильная птица семейства ястребиных с изогнутым клювом, живущая в гористых или степных местностях.
2087	орел	Государственный герб с изображением орла.
2088	осек	Пасека, место, где стоят ульи.
2089	осел	Домашнее животное семейства лошадиных с длинными ушами.
2090	ослы	Группа видов непарнокопытных животных из рода лошадей.
2091	осос	Поросенок, сосущий матку.
2092	осот	Крупное сорное травянистое растение семейства сложноцветных.
2093	оспа	Тяжелая заразная болезнь, сопровождающаяся появлением гнойной сыпи, от которой на коже остаются ямки, рябины.
2094	ость	Тонкая и длинная щетинка на оболочке зерна у многих злаков.
2095	ость	Волоски в шерсти животного, более длинные, жесткие и иного цвета, чем вся шерсть.
2096	отец	Мужчина по отношению к своим детям.
2097	отец	Самец по отношению к своему потомству (обычно о племенных, породистых лошадях, собаках и т.п.).
2098	отек	Опухание, вздутие тела вследствие скопления в тканях водянистой жидкости.
2099	отек	След, оставшийся от текущей жидкости; подтек.
2100	отел	Роды у коров, у крупных травоядных.
2103	охра	Природная минеральная краска желтого цвета, состоящая из окиси железа или из глин, окрашенных окислами железа, марганца и т.п.
2104	очаг	Устройство для разведения и поддержания огня; печь.
2105	очес	Очистка волокнистого материала (хлопка, шерсти, льна и т.п.) посредством чесания.
2145	риал	Монета соответствующего достоинства.
2106	очки	Оптический прибор из двух стекол на дужках для исправления недостатков зрения или защиты глаз от повреждений.
2107	очко	Значок на игральной карте, определяющий ее масть, а в совокупности с другими подобными - и ее достоинство, и используемый как единица счета при игре.
2108	очко	Единица счета для обозначения количества выигрышей в спортивных и других играх и в соревнованиях.
2109	очко	Небольшое круглое или узкое отверстие различной формы.
2110	ошва	Наружная обшивка деревянных речных судов.
2111	йога	Религиозно-философское учение древней и средневековой Индии, в основе которой лежит разработанная система приемов и методов самоуправления психикой и физиологическими процессами человека и освобождения его от уз материальной зависимости.
2112	йота	Название самой маленькой буквы греческого алфавита.
2113	рада	Название народного собрания, совета представителей (на Украине, в Белоруссии, Литве и Польше в разные исторические периоды).
2114	рака	Массивная гробница для хранения останков, мощей тех, кого христианская церковь признавала святыми или угодниками.
2115	рама	Четырехугольное, овальное или иной формы обрамление из различных материалов для вставки в него картин, портретов, зеркал и т.п.
2116	рама	Название многих технических приспособлений сходной формы или назначения.
2117	рама	Оконный переплет, в который вставляются стекла.
2118	рамс	Название азартной карточной игры.
2119	рана	Повреждение ткани живого организма, при котором нарушается ее целостность.
2120	ранг	Степень отличия, чин, специальное звание.
2121	ранг	Категория, разряд предметов, явлений или лиц.
2122	рант	Деталь обуви, представляющая собою полоску из кожи, к которой одновременно пришивается подошва и верх обуви.
2123	рант	Край, кромка.
2124	рапа	Природный солевой рассол соленых озер, морских заливов с концентрацией, превышающей содержание солей в морской воде нормального состава.
2125	рапс	Масличное и кормовое растение семейства крестоцветных с сизо-зелеными листьями и лимонно-желтыми или ярко-желтыми цветками.
2126	раса	Исторически сложившаяся группа людей, объединенная общностью происхождения и общностью наследственных физических признаков: цветом кожи, глаз, волос, формой черепа и т.п. (в антропологии).
2127	раса	Совокупность особей внутри ареала, вида или подвида, отличающихся общими биологическими особенностями и связанных общим происхождением и районом распространения (в зоологии, ботанике).
2128	раус	Балкон над входом или перед входом в балаган, на который перед началом представления выходила вся труппа или один актер, чтобы зазывать зрителей.
2129	раут	Торжественный званый вечер, прием.
2130	реал	Старинная испанская серебряная монета.
2131	реал	Стол с наклонной верхней доской, на которую ставится касса со шрифтом для набора.
2132	резь	Острая, режущая боль.
2133	рейд	Водное пространство вблизи берега, у входа в порт, предназначенное для якорных стоянок судов.
2134	рейд	Набег подвижных военных сил в тыл противника с боевой целью.
2135	рейс	Путь по заданному маршруту, совершаемый судном или другим транспортным средством.
2136	река	Постоянный водоем с естественным течением воды по разработанному ею руслу от истока до устья.
2137	репа	Овощное растение семейства крестоцветных с утолщенным корнеплодом, обычно белого или желтого цвета.
2138	репс	Плотная ткань полотняного переплетения с мелким рубчиком.
2139	речь	Способность выражать мысль словами; умение говорить.
2140	речь	Язык в момент произношения слов; звучащий язык.
2141	речь	Характер произношения или произнесения.
2142	речь	Тот или иной вид, стиль языка.
2143	речь	Группа слов, предложение, представляющие собою высказывание (в лингвистике).
2144	риал	Денежная единица Ирана, равная 100 динарам.
2146	рига	Большой крытый сарай для сушки снопов и обмолота.
2147	риза	Верхнее облачение священника, надеваемое во время богослужения.
2148	риза	Богатое, украшенное золотом - обычно царское - одеяние (на Руси в XV-XVII вв.).
2149	риза	Металлическая накладка на иконах, располагающаяся на тех местах, где изображена одежда; оклад.
2150	ринг	Огражденная канатами площадка для состязаний по боксу.
2151	ринк	Площадка для катания на роликовых коньках; скетинг-ринг.
2152	риск	Возможная опасность.
2153	риск	Возможный убыток или неудача в деле.
2154	риск	Опасность, от которой производится страхование имущества.
2155	ритм	Равномерное чередование элементов (звуковых, двигательных и т.п.), присущее действию, течению, развитию.
2156	роды	Физиологический процесс рождения, выхода младенца из тела матери.
2157	рожа	Инфекционное заболевание, характеризующееся острым воспалением кожи или слизистых оболочек и лимфатической сети кожи.
2158	рожь	Хлебный злак, из зерен которого изготовляется мука для выпечки черного хлеба.
2159	роза	Кустарниковое растение семейства розовых с крупными душистыми цветками красных, розовых, белых или желтых тонов и со стеблями, обычно покрытыми шипами.
2160	роза	Архитектурное украшение готических окон (или само окно) в виде круга с переплетом из радиально расходящихся от центрального кружка лучей.
2161	ролл	Машина для размола волокнистых материалов, служащих для изготовления бумаги.
2162	роль	Художественный образ, создаваемый актером (на сцене, в кинофильме и т.п.).
2163	роль	Совокупный текст одного действующего лица в пьесе.
2164	роль	Форма поведения человека в ситуации, обусловленной определенными обстоятельствами (в социологии).
2165	роса	Водяные капли, осаждающиеся в теплое время года из влажного воздуха на поверхности растений, почвы и различных наземных предметов вечером, ночью и рано утром при понижении температуры.
2166	рост	Увеличение организма или отдельного органа в процессе развития.
2167	рост	Высота человека, животного; размер по высоте.
2168	рота	Войсковое подразделение, входящее в состав батальона или другой более крупной войсковой единицы.
2169	роща	Небольшой - обычно лиственный - лес.
2170	роща	Специально выделяемый по признакам или с целью участок леса.
2171	руда	Природное минеральное сырье, содержащее металлы или их соединения.
2172	рука	Одна из двух верхних конечностей человека от плеча до конца пальцев.
2173	рука	Одна из верхних конечностей человека как орудие деятельности, труда.
2174	руль	Приспособление для управления ходом автомобиля, водного или воздушного судна и т.п.
2175	румб	Мера угла окружности горизонта, разделенной на 32 части.
2176	румб	Направление к точкам видимого горизонта относительно стран света (от наблюдателя).
2177	руно	Шерсть овцы, сохраняющаяся при стрижке в виде одного сплошного пласта.
2178	руны	Древние письмена скандинавов, сохранившиеся как надписи на камнях, утвари, оружии и других предметах.
2179	руны	Древние народные эпические песни карелов, финнов и эстонцев.
2180	руст	Применяемый при кладке и облицовке зданий камень, лицевая поверхность которого - за исключением кантов - остается неотесанной.
2181	русь	Русская земля (первоначальное название государственного образования восточных славян в IX в.).
2182	рута	Многолетнее южное полукустарниковое растение семейства рутовых с желтыми цветками и листьями, содержащими эфирное масло.
2447	труп	Мертвое тело человека или животного.
2183	рыба	Водное позвоночное животное, дышащее жабрами, с конечностями в виде плавников, с холодной кровью и с кожей, обычно покрытой чешуей.
2184	рыбы	Одно из двенадцати зодиакальных созвездий.
2185	рыбы	Класс водных позвоночных животных, дышащих жабрами, с конечностями в виде плавников, с холодной кровью и с кожей, обычно покрытой чешуей.
2186	рыло	Крайняя передняя часть носа некоторых животных, приспособленная для рытья.
2187	рысь	Быстрый аллюр (средний между галопом и шагом), при котором лошадь попеременно выносит и опускает то правую переднюю и левую заднюю, то левую переднюю и правую заднюю ноги.
2188	рысь	Крупное хищное млекопитающее семейства кошачьих с очень острым зрением.
2189	рюха	Небольшая цилиндрическая чурка для игры в городки.
2190	ряды	Совокупность лиц, объединенных определенными идеями, организацией, классовой принадлежностью и т.п.; среда, состав.
2191	ряса	Верхняя длинная одежда в талию и с широкими рукавами, которую носит православное духовенство.
2192	сааз	Струнный щипковый музыкальный инструмент, распространенный среди народов Закавказья, Ирана, Турции и некоторых других стран.
2193	саба	Мешок из цельной шкуры животного для хранения и перевозки кумыса, вина, воды у восточных народов.
2194	сага	Древнеисландское поэтическое сказание.
2195	саек	Молодой олень, без пантов, с маленькими, только что показавшимися рожками.
2196	сажа	Черный налет на внутренних частях печей, дымоходов - продукт неполного сгорания топлива.
2197	сало	Жировое отложение в теле животного организма.
2198	сало	Продукт, получаемый из жировых веществ.
2199	сало	Смазочное вещество минерального или растительного происхождения.
2200	сани	Зимняя повозка на полозьях.
2201	сапа	Окоп, траншея, ход сообщения, отрываемые под огнем противника при сближении с ним.
2202	сбир	Низший служащий инквизиции.
2203	сбир	Старинное название судебного и полицейского стражника в Италии.
2204	сбой	Перебой в движении, работе из-за неисправности.
2205	сбой	Скачок или несколько скачков во время бега на рыси (в конном спорте).
2206	сбой	Заминка в беге при переходе лошади на скачку.
2207	сбой	Голова, ноги и внутренности заколотого на мясо животного.
2208	сбор	Совокупность разнородных предметов.
2209	сбор	Лекарство, состоящее из смеси трав.
2210	сбыт	Продажа потребителю.
2211	сбыт	Незаконное распространение нелегальная торговля.
2212	свая	Бревно, брус, забиваемые в грунт для опоры сооружения.
2213	свес	Выступающая, свешивающаяся часть предмета.
2214	свес	местн. Крыша на столбах; навес.
2215	свет	Лучистая энергия, воспринимаемая глазом и делающая окружающий мир видимым.
2216	свет	Место, откуда исходит освещение.
2217	свет	Источник освещения и приспособление для освещения в домах и на улице.
2218	свет	Земля, Вселенная.
2219	свет	Люди, населяющие Землю.
2220	свет	Общественная среда, общество.
2221	свет	Избранный круг, высшее общество.
2222	свищ	Изъян в в виде сквозной дыры, скважины.
2223	свищ	Скрытая пустота, раковина в металлическом литье.
2224	свищ	Аномальный канал, выходящий на поверхность тела человека или животного или соединяющий полые органы между собою.
2225	свод	Собранные, сведенные в единое целое и расположенные в определенном порядке тексты, документы, законы и т.п.
2226	сгиб	Изгиб.
2227	сгон	Понижение уровня воды у берегов, вызванное действием ветра.
2228	сеид	Почетный титул мусульманина, претендующего на происхождение от пророка Мухаммеда (у восточных народов, исповедующих ислам).
2229	сейм	Сословно-представительное учреждение в некоторых государствах Восточной Европы в эпоху феодализма.
2230	сейм	Название парламента в некоторых странах.
2231	сейф	Несгораемый шкаф для хранения ценностей и документов.
2232	сейф	Помещение, приспособленное для хранения ценных предметов в полной безопасности.
